,Product Name,Product Description,Discounted Price,Original Price,Discount Percentage,Customer Rated Rating,Customer Review Test,Reviewers Name,Review_posted_dates
0,BULLMER,Graphic Printed Oversized Cotton T-shirt,₹389,₹1499,(74% OFF),"[5, 5, 3]","[""Amazingggg go for it. Believe me it's one of the best oversize tshirt."", 'Awesome quality n color....go for it! 👍🏻 Reviews gvn here are misleading....still I purchased n really satisfied with the product.', 'The color and design looks good. The quality of the cloth is not too good.']","['Aman Raj', 'Shweta Pahilajani', 'Chumben Kikon']","['20 Sept 2023', '13 Nov 2023', '21 Nov 2023']"
1,Stormborn,Graphic Printed Drop Shoulder Sleeves Pure Cotton Oversized T-shirt,₹539,₹999,(46% OFF),"[4, 3, 4]","['Perfect fit , Perfect look Cloth quality also is good 👍🏻', ""Product quality average.. style and look same as shown as picture..but colour doesn't match exactly .it's actually dull colour"", 'The product is of good quality… Lenth is little shorter but the other overall fitting is good ￼']","['Umesh', 'Shilpa Sarkar', 'Aaditya Ghodgaonkar']","['10 Nov 2023', '12 Dec 2023', '21 Dec 2023']"
2,BULLMER,Graphic Printed Round Neck Oversized Cotton T-shirt,₹389,₹1499,(74% OFF),"[1, 2, 4]","[""Pathetic waste product Poor quality material , even shortage of material between stitching. Pls don't waste your money on it. Highly suggest don't don't buy this ."", 'Poor material and low quality prints(especially the brand naming on the back)', 'Just wow, loved it ❤️']","['Shanu', 'Gopudas', 'Ankush Thakur']","['2 Nov 2023', '27 Dec 2023', '29 Dec 2023']"
3,Stormborn,Graphic Printed Oversized Drop Shoulder Sleeves Pure Cotton T-shirt,₹549,₹999,(45% OFF),"[4, 5, 5]","[""In the picture, it looks navy blue, but it's black. Otherwise the fabric quality is good."", 'Nice product & good quality ❤️❤️', 'Amazing fit. High quality product.']","['Myntra Customer', 'Debasis', 'Myntra Customer']","['25 Oct 2023', '21 Nov 2023', '2 Jan 2024']"
4,HERE&NOW,HERENOW Men Navy Polo Collar Cotton Pure Cotton T-shirt,₹428,₹1299,(67% OFF),"[4, 5, 5]","['Clothes very comfortable', 'Worth buying it. Loved the product. Perfect size. Worth value for money. ❤️❤️😍😍', 'Very good material, good shape.Colour as shown in the app. Colour in my photo is looking bright as photo is clicked on sunlight. L size fitted well for men wearing shirts of size 40']","['Sk Miraj', 'Akshay V', 'Priyanka Mahanta']","['23 June 2022', '21 Dec 2020', '18 Sept 2021']"
5,Puma,Ess Polo T-shirt,₹679,₹1699,(60% OFF),"[5, 5, 5]","['Woww worth it', 'Best product with best quality & best colour', ""It's slim fit .""]","['Meenu', 'Dr Mayur Rathod', 'Myntra Customer']","['22 Aug 2023', '18 Aug 2023', '4 Aug 2023']"
6,H&M,HM Men White Solid Cotton Pure Cotton T-shirt Regular Fit,Rs. 399,,,,,,
7,Roadster,Men Grey Melange & Black Colourblocked T-shirt,₹293,₹699,(58% OFF),"[4, 4, 5]","['T-shirt quality is good , I like it but delivery time taken much more than expected.Anyways...its good Myntra ?, Expecting some coupons offer during... festival occasion ?????', ""T-shirt is good, fabric is amazing, feel of it is really nice. I usually like tshirts like this pretty loose so i ordered XL instead of M but it really isnt as loose as i expected it to be, feels like a bad L (?) But i love the tshirt so not much to complain.Overall, it's really amazing."", ""I love the product and I so happy to see the exact product I had seen in the picture and product quality is also good ? and delivery is also fast . I am impressed as it is my first online shopping with myntra . Overall it's nice product to buy even for gifting . It's worth for price ?""]","['Abhisek Giri', 'Abdullah Siddique', 'Zewata Imam']","['27 Sept 2020', '28 May 2022', '25 Dec 2020']"
8,Huetrap,Men Beige & Black Typography Printed Sustainable T-shirt,₹340,₹1099,(69% OFF),"[4, 4, 3]","[""Although in this price the fabric quality is great and color looks good. You can use it for daily use purpose and it gives more attractive look when you are muscle pumped. According to me it'll not suit much for skinny or thin people. The black border part is meant to be a sensitive part as it can be faded if you used a brush hard on it while washing. So be careful of it while washing otherwise no color fade in the main fabric and it is good although 💪✌️✌️"", 'Great product for its price. Slightly loose from waste and sleeves but overall a good product. Also the colour is slightly different from the images. In reality the colour is lighter and cooler shade of grey. Nice for summers.', 'Alert guys!!! The product shown (beige melange) and the product which is received is different in color. It instead is more of white melange. Get ready with the color if you are trying to order one. Material wise it is soft and stretchable. Just the color looks off.']","['Ayush Bajpai', 'Ashwani Kadyan', 'Sanjay Chhetry']","['17 July 2022', '2 Mar 2022', '8 Oct 2021']"
9,Urbano Fashion,Men Teal Green Slim Fit Tropical Printed Pure Cotton T-shirt,₹494,₹1099,(55% OFF),"[4, 3, 4]","['I bought this tshirt first for my brother and i really liked the fit and fabric...so I bought the same for myself but this time I got a tshirt which looks the same but with rough fabric..', ""Quality of the product is ok, I don't if it stays with same colour after the wash but fits perfect. Colour is a bit lighter side compared to the display pictures. Over all I will give 3 start for total quality and color of the T-shirt."", ""The product sheds color dye right after first use. It is advisable to wash it alone. The product is thinner but it's worth it if you're paying anything between 300 - 350. Also buy one size more than what is mentioned.""]","['Jayakrishnan R', 'Goutam Kumar', 'Rajesh']","['17 Oct 2022', '14 May 2022', '14 Aug 2023']"
